"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0098781" "GO:0098781" "ncRNA transcription" "37/2329" "139/14382" 0.00114942053183126 0.0178269800195737 0.0148354865717501 "SREBF1/NFATC3/NOTCH3/PDGFB/NFATC4/NFATC2/PIH1D1/TGFB1/NOP53/DDX5/SRF/VEGFA/NR3C1/MACROH2A1/EGR1/SOX9/POLR1B/NOTCH2/ETS1/KLF4/SMAD6/MYOCD/GATA6/SMAD4/EGFR/DEDD/GNL3/SMAD3/AR/APLN/LARP7/GATA2/POLR1D/MRTFB/PPARA/TEAD1/GTF2H5" 37
"GO:0150063" "GO:0150063" "visual system development" "73/2329" "320/14382" 0.00115477179780374 0.0178613072638556 0.0148640534614325 "MYOM2/FOXC1/CRYBG3/CACNA1S/SMARCD3/FAT1/FGF9/FLT1/FZR1/NAGLU/CRYAB/TCIRG1/MDM1/PRPH2/SRF/VEGFA/PDGFRB/WNT5A/RPL24/ACVR2B/RAB3GAP1/PROX1/TGIF2/TTLL5/TBX2/PFDN5/SOX9/PLAAT1/ATF4/NES/NOTCH2/GDF11/KLF4/TMOD1/BCAR3/ABI2/BMPR1B/PRICKLE1/UNC45B/EPHA2/WNT9A/MEIS1/EGFR/NOTCH1/CACNA1C/THY1/ATP2B2/WDR19/ARHGAP35/FZD5/PITX2/HCN1/SPRED1/FBN1/FRS2/TUB/SMAD3/CLIC4/BCL2/COL8A2/LAMB2/RARG/SP3/C1QA/MAF/MAB21L1/COL4A1/HDAC2/MFAP5/DLL1/ARHGEF15/COL5A2/TENM3" 73
"GO:0045216" "GO:0045216" "cell-cell junction organization" "45/2329" "178/14382" 0.00117470137413176 0.0181203258036802 0.0150796068566336 "CD9/CLDN11/HDAC7/LIMS2/FERMT2/TBX5/CDH20/CSK/IKBKB/TGFB1/SRF/VEGFA/CDH6/EPHA4/TJP2/TGFB3/CDH15/AFDN/PATJ/ROCK2/TLN1/RDX/ADAM10/CDH13/TBCD/EPHA2/ANK2/ESAM/RHOC/F11R/FZD5/JAM3/SMAD3/TLN2/HEG1/JUP/IRX3/CDH4/CDH5/ACTG1/PIP5K1C/FLNA/MYO1C/PECAM1/GJA5" 45
"GO:0035265" "GO:0035265" "organ growth" "38/2329" "144/14382" 0.0011831425911168 0.0181521499424173 0.0151060906796016 "ARX/FOXC1/YBX3/TGFBR3/FGFR1/ZMPSTE24/TBX5/FGF9/COMP/ACVR2B/LEPR/PROX1/TBX2/SOX9/IER3IP1/PIM1/DUSP6/GATA6/AKT1/MEIS1/NOTCH1/SORBS2/NPR2/PI16/IGF2/AR/ZFPM2/S1PR1/BCL2/RARG/BNC2/HEG1/BASP1/FES/CAV3/PPARA/MYH6/DLL1" 38
"GO:0050905" "GO:0050905" "neuromuscular process" "38/2329" "144/14382" 0.0011831425911168 0.0181521499424173 0.0151060906796016 "ZMPSTE24/MYH7/TNNC2/DMPK/TNNT1/COMP/DVL1/RPS6KB1/TNNC1/KCNJ8/TCF15/TNNT3/TNNI2/CHRND/APP/CASQ1/GSTO1/EDNRA/HOMER1/UCHL1/TNNI1/NPR2/TPP1/MAP1A/JSRP1/TUBA1A/ADCY5/HOXC10/SYNM/CAV3/GRIN2A/STAC3/ATP2A1/GM2A/RCSD1/DMD/STRIT1/ACTN3" 38
"GO:0061615" "GO:0061615" "glycolytic process through fructose-6-phosphate" "10/2329" "22/14382" 0.00119608536328788 0.0182369299381276 0.0151766439918582 "PFKP/PGK1/ENO3/ENO2/PPP2CA/PFKL/PFKFB1/HK2/PGAM2/PGAM1" 10
"GO:0086013" "GO:0086013" "membrane repolarization during cardiac muscle cell action potential" "10/2329" "22/14382" 0.00119608536328788 0.0182369299381276 0.0151766439918582 "KCNN2/YWHAE/KCNJ8/ATP1B1/SCN2B/KCNE4/KCNJ3/ATP1A1/KCND3/FLNA" 10
"GO:0072526" "GO:0072526" "pyridine-containing compound catabolic process" "26/2329" "88/14382" 0.00119828035784605 0.0182369299381276 0.0151766439918582 "MLXIPL/PFKP/TIGAR/PGM1/SLC4A4/PGK1/PRKAG2/ENO3/GAPDH/ENO2/PPP2CA/PRKAG3/PFKFB2/RPTOR/PFKL/APP/OGT/ALDOA/PFKFB1/HK2/PRKAA2/PGAM2/GPD1/PGAM1/PPARA/ACTN3" 26
"GO:0045599" "GO:0045599" "negative regulation of fat cell differentiation" "17/2329" "49/14382" 0.00120865210652273 0.0182969356125728 0.0152265802893401 "TRIO/RORA/TRIB2/FERMT2/TGFB1/WNT5A/TGFB1I1/TLCD3B/FOXO1/ZFP36L2/SMAD3/ZFPM2/ASXL1/ID4/DDIT3/GATA2/PTGR3" 17
"GO:1902305" "GO:1902305" "regulation of sodium ion transmembrane transport" "17/2329" "49/14382" 0.00120865210652273 0.0182969356125728 0.0152265802893401 "ATP1A2/NEDD4L/NOS1/FXYD5/SLC9A1/ATP1B2/FGF13/ACTN4/ATP1B1/SCN2B/FXYD4/GPD1L/SCN4B/CAV3/STK39/DMD/FXYD1" 17
"GO:0140694" "GO:0140694" "non-membrane-bounded organelle assembly" "86/2329" "389/14382" 0.0012332983952561 0.0185732633660816 0.015456538289634 "MYOM2/SMC1A/CLASP1/WDR62/RPS5/NOA1/MAPRE3/MYBPC2/RPL6/RPLP0/MYH7/CAPN3/ASB2/TUBB1/MYL9/ARHGEF10/CCDC61/TNNT1/RPS19/NOP53/SMC3/MYL2/MDM1/SRF/PDGFRB/FXR1/RPS15/PROX1/STAG1/NEK6/GPSM2/RPL5/OBSL1/TUBGCP6/TNNT3/MYH11/TMOD1/CDK5RAP2/NUMA1/MYPN/CENPE/PRICKLE1/TPM1/MYLK3/SMAD4/MYOM3/CASQ1/ACTA1/LIMD1/G3BP1/MSN/RPL10/GSN/RPS3/EML3/NEK7/BICD1/TTN/CSRP1/PRKAA2/TMOD4/CLASP2/RPS14/SUGT1/RPSA/LMOD2/MYOZ2/RPL38/EIF1AX/MYOZ1/RPS27/SEPTIN1/CAV3/CEP63/NEB/DAZAP2/ACTG1/RPS23/FLNA/MYH6/RPL23A/CCDC69/CNOT7/KLHL41/MRPL20/CHMP1B" 86
"GO:0044331" "GO:0044331" "cell-cell adhesion mediated by cadherin" "14/2329" "37/14382" 0.0012334317555128 0.0185732633660816 0.015456538289634 "PTPRU/CDH20/RGCC/VEGFA/CDH6/WNT5A/CDH15/AFDN/CDH13/NOTCH1/CDH4/CDH5/CTNND1/NOTCH4" 14
"GO:0007423" "GO:0007423" "sensory organ development" "101/2329" "469/14382" 0.00123765854245804 0.0185877372656231 0.0154685833663691 "SLC4A7/MYOM2/FOXC1/NTN1/FGFR1/CRYBG3/CACNA1S/SMARCD3/FAT1/TRIOBP/FGF9/FLT1/EYA1/FZR1/DVL1/NAGLU/CRYAB/TECTA/TCIRG1/MDM1/EYA4/PRPH2/SRF/VEGFA/TBX18/PDGFRB/WNT5A/RPL24/ACVR2B/RAB3GAP1/ATP6V1B1/EPHA4/KCNQ4/PROX1/TGIF2/TTLL5/TGFB3/TBX2/PFDN5/SDC4/SOX9/INSIG2/TCF15/SIX1/PLAAT1/ATF4/NES/NOTCH2/TBX3/GDF11/KLF4/TMOD1/ADAM10/BCAR3/ABI2/BMPR1B/SEC24B/PRICKLE1/UNC45B/EPHA2/WNT9A/MEIS1/EGFR/NOTCH1/CACNA1C/EDNRA/THY1/ATP2B2/WDR19/ARHGAP35/FRZB/FZD5/PITX2/HCN1/SPRED1/FBN1/FRS2/DCHS1/TUB/SMAD3/CLIC4/SIX2/BCL2/COL8A2/LAMB2/RPL38/RARG/SP3/BNC2/MAF/GATA2/MAB21L1/COL4A1/HDAC2/MFAP5/DLL1/ARHGEF15/COL5A2/PJVK/TENM3/C1QTNF5" 101
"GO:1905314" "GO:1905314" "semi-lunar valve development" "15/2329" "41/14382" 0.00124914826096612 0.0187109260563662 0.0155711002059489 "TNFRSF1B/TIE1/TGFB1/SOX9/NFATC1/NOTCH2/ROCK2/SMAD6/NOTCH1/ADAMTS5/HEYL/HEY1/NOS3/SLIT3/GJA5" 15
"GO:0051283" "GO:0051283" "negative regulation of sequestering of calcium ion" "32/2329" "116/14382" 0.00127345850180528 0.0190250020794637 0.0158324720489674 "CX3CL1/ATP1A2/CYBA/CACNA1S/FKBP1A/NOS1/CAPN3/ITPR3/JPH1/PDE4D/CASQ2/PKD2/PTK2B/CASQ1/ANK2/GSTO1/PLCB3/CACNA1C/THY1/SELENON/JSRP1/DDIT3/PLCB1/TRDN/RYR1/FLNA/ANXA6/HTT/RYR2/CALM1/DMD/ITGB3" 32
"GO:0001654" "GO:0001654" "eye development" "72/2329" "316/14382" 0.00128666945982146 0.0191720486002715 0.0159548431226138 "MYOM2/FOXC1/CRYBG3/CACNA1S/SMARCD3/FAT1/FGF9/FLT1/FZR1/NAGLU/CRYAB/TCIRG1/MDM1/PRPH2/SRF/VEGFA/PDGFRB/WNT5A/RPL24/ACVR2B/RAB3GAP1/PROX1/TGIF2/TTLL5/TBX2/PFDN5/SOX9/PLAAT1/ATF4/NES/NOTCH2/GDF11/KLF4/TMOD1/BCAR3/ABI2/BMPR1B/PRICKLE1/UNC45B/EPHA2/WNT9A/MEIS1/EGFR/NOTCH1/CACNA1C/THY1/ATP2B2/WDR19/ARHGAP35/FZD5/PITX2/HCN1/SPRED1/FBN1/FRS2/TUB/SMAD3/CLIC4/BCL2/COL8A2/LAMB2/RARG/SP3/MAF/MAB21L1/COL4A1/HDAC2/MFAP5/DLL1/ARHGEF15/COL5A2/TENM3" 72
"GO:1901343" "GO:1901343" "negative regulation of vasculature development" "27/2329" "93/14382" 0.00130242664561188 0.0193416008678195 0.0160959433193749 "KRIT1/FOXC1/TIE1/VASH1/PGK1/RGCC/SERPINE1/SPARC/STAT1/AMOT/KLF2/ROCK2/COL4A2/KLF4/NIBAN2/SULF1/THBS1/EPHA2/HSPG2/PDE3B/ADAMTS1/PF4/SPRED1/NPR1/GPR4/TAFA5/GTF2I" 27
"GO:0007409" "GO:0007409" "axonogenesis" "87/2329" "395/14382" 0.00130484447175732 0.0193416008678195 0.0160959433193749 "SEMA3F/ARX/IFRD1/SEMA3G/TRIO/XK/NTN1/NOTCH3/SEMA3C/PLXNA2/TOP2B/APLP2/RAB10/CTTN/EFNB1/NRCAM/RPS6KA5/ADNP/RAB3A/COBL/DVL1/UNC5B/PPP3CB/LGI1/SRF/VEGFA/WNT5A/RPL24/STK25/EPHA4/NRP2/KLF7/EGR2/USP9X/VASP/FLRT3/MAP2K2/PALLD/FGF13/NOTCH2/NIBAN2/SEMA6D/MYPN/BMPR1B/PRICKLE1/SMAD4/APP/BOC/NOTCH1/PAK1/NCAM1/KIAA1755/EDNRA/NR4A2/THY1/ROBO4/UCHL1/TIAM1/B4GALT5/NPR2/ARHGAP35/KALRN/BRSK1/DISC1/NFASC/PLXNB1/MAP1A/ISLR2/SEMA4C/B3GNT2/FEZ2/BCL2/LAMB2/DAG1/BDNF/CDH4/NDN/ACTG1/SLIT3/TRPV2/SEMA4D/RELN/PLXNB2/S100A6/PLXNA4/ARHGEF25/TWF2" 87
"GO:0045598" "GO:0045598" "regulation of fat cell differentiation" "33/2329" "121/14382" 0.0013325025223916 0.0197002710583194 0.0163944261128153 "TRIO/LMO3/RORA/TRIB2/FERMT2/SFRP1/TGFB1/WNT5A/ID2/SIX1/PIM1/TGFB1I1/AKT1/CARM1/DUSP10/TLCD3B/FOXO1/CCDC3/ZFP36L2/ZNF385A/FRZB/ZC3H12A/SMAD3/ZFPM2/ASXL1/ID4/CEBPB/DDIT3/LPL/METRNL/GATA2/PTGR3/ZFP36L1" 33
"GO:0001701" "GO:0001701" "in utero embryonic development" "82/2329" "369/14382" 0.00135263894511372 0.0198946275854968 0.016556168238846 "CUL3/FOXC1/YBX3/YBX1/TIE1/POLB/VASH1/FGFR1/KEAP1/APOB/MSH2/MFNG/PDGFB/MYH9/SH3PXD2A/ZMIZ1/TFEB/SRF/VEGFA/PCDH12/DBN1/ACVR1/PKD2/TGFB3/OCRL/EIF2S2/AMOT/KLF2/E2F8/MGAT1/WDR74/NOTCH2/TBX3/EGLN1/KLF4/RTF1/ADAM10/COPS3/GATA6/SMAD4/AKT1/CCN1/ARNT/BTF3/RSPO3/EGFR/NOTCH1/ST8SIA6/SEC24D/EDNRA/MBNL1/CMIP/ANGPT1/WDR19/PLCD3/SLC25A34/FZD5/SMIM14/HEY1/SOX17/NOS3/INTS1/SMAD3/IGF2/RPL13/BMI1/AR/TM4SF1/ZFPM2/JUNB/BCL2L1/CEBPB/SP3/HEG1/GATA2/MAFF/ZFP36L1/SLC35E2B/MYH6/SOX18/ZBED6/PCGF2" 82
"GO:0048732" "GO:0048732" "gland development" "82/2329" "369/14382" 0.00135263894511372 0.0198946275854968 0.016556168238846 "CUL3/TNC/FOXC1/NTN1/PITX1/TGFBR3/POLB/LIMS2/TP63/SEMA3C/FGFR1/ZMPSTE24/MMP2/TUBB1/SFRP1/TGFB1/COBL/NEURL1/NAGLU/CCND1/SRF/VEGFA/NR3C1/WNT5A/RPS15/ID2/IRF6/PROX1/PKD2/TGFB3/HOXB3/TBX2/SOX9/SIX1/MAP2K2/E2F8/LAMA5/ASS1/RGN/RAF1/NOTCH2/TBX3/SULF1/GATA6/NPC1/SMAD4/AKT1/EPHA2/EGFR/MSN/NOTCH1/EDNRA/HK2/ARHGAP35/FRZB/PITX2/FRS2/STAT6/SMAD3/IGF2/AR/APLN/ASXL1/BCL2/ID4/CEBPB/RARG/SP3/DAG1/STAT5B/GATA2/CAV3/CADM1/CSF1/IRS2/SERPINA5/SULF2/TGM2/NOTCH4/CRIP1/LBH/PHB2" 82
"GO:0006417" "GO:0006417" "regulation of translation" "77/2329" "343/14382" 0.00138806004783317 0.0203629840006866 0.0169459311319839 "YBX3/EIF4B/YBX1/PABPC1/IGF2BP2/DDX1/GEMIN5/PPP1R15A/EIF3D/EEF2K/GSPT1/EIF3E/NEURL1/CASC3/RPS6KB1/GAPDH/RBM24/HBS1L/DAP/MRPS27/CPEB4/FXR1/EIF2B4/EPHA4/PAIP2/PTK2B/ZNF706/RPL5/PAIP2B/TRAP1/ATF4/PUM1/SYNCRIP/NIBAN1/EIF4E2/BZW2/NCBP1/THBS1/METTL5/APP/AKT1/RPL13A/LIMD1/METTL14/OGT/RPL10/EIF3H/RPS3/BOLL/ZFP36L2/EIF4A2/TENT5B/PINK1/ZNF385A/RPL26/RPS14/RPUSD4/METTL3/EEF2/POLR2G/CNBP/RPS9/PAIP1/RPL38/RBM4B/RPS6KA3/ZFP36L1/SECISBP2/NANOS1/PLXNB2/RPS4X/CNOT7/RACK1/SARNP/DIO2/CPEB1/EIF4EBP3" 77
"GO:0071774" "GO:0071774" "response to fibroblast growth factor" "28/2329" "98/14382" 0.00140068475216104 0.0204953666048859 0.0170560989980373 "CD44/TNC/HYAL2/FGFR1/KIF16B/FGF9/SFRP1/PRKD2/WNT5A/CCN2/TBX2/FLRT3/FGFRL1/KCNC1/SULF1/THBS1/ZFP36L2/FGF18/NPR2/IER2/FRS2/APLN/FIBP/NDNF/EGR3/ZFP36L1/SPRY4/SULF2" 28
"GO:0071404" "GO:0071404" "cellular response to low-density lipoprotein particle stimulus" "11/2329" "26/14382" 0.00141256135016119 0.0206161518079936 0.0171566155890023 "CD9/TGFB1/CD81/LDLR/TLR4/CDH13/NPC1/AKT1/ABCA1/LPL/TXNIP" 11
"GO:0009191" "GO:0009191" "ribonucleoside diphosphate catabolic process" "26/2329" "89/14382" 0.00143655755056736 0.0209127508384384 0.0174034432024583 "MLXIPL/PFKP/TIGAR/PGM1/SLC4A4/PGK1/PRKAG2/ENO3/GAPDH/ENO2/PPP2CA/PRKAG3/PFKFB2/RPTOR/PFKL/APP/OGT/ALDOA/PFKFB1/HK2/PRKAA2/PGAM2/GPD1/PGAM1/PPARA/ACTN3" 26
"GO:0090092" "GO:0090092" "regulation of transmembrane receptor protein serine/threonine kinase signaling pathway" "56/2329" "235/14382" 0.00146457722840787 0.0212662591431061 0.017697630311051 "TGFBR3/FSTL3/PALS1/FKBP1A/LTBP4/GLG1/RBBP7/FGF9/NOMO3/STUB1/SFRP1/TGFB1/CAV2/ENG/WNT5A/ACVR2B/ACVR1/TGFB3/NOTCH2/NREP/CCN3/NUMA1/SULF1/SDCBP/THBS1/SMAD6/PCSK6/TGFB1I1/MYOCD/GATA6/SMAD4/CCN1/OGT/IGSF1/NOTCH1/CRIM1/DAB2/NBL1/FSTL1/DACT2/SPRED1/FBN1/RBPMS2/GREM1/SMAD3/VASN/HJV/LDLRAD4/HTRA3/FAM89B/CDH5/GREM2/CAV3/PPARA/HDAC2/TGFBR3L" 56
"GO:0007350" "GO:0007350" "blastoderm segmentation" "9/2329" "19/14382" 0.0014731711121141 0.0213366157001361 0.0177561805397441 "SEMA3F/WNT5A/NRP2/LAMA5/TBX3/PCSK6/FZD5/FRS2/BASP1" 9
"GO:0048880" "GO:0048880" "sensory system development" "73/2329" "323/14382" 0.00150669682321898 0.0217667977608184 0.0181141750053043 "MYOM2/FOXC1/CRYBG3/CACNA1S/SMARCD3/FAT1/FGF9/FLT1/FZR1/NAGLU/CRYAB/TCIRG1/MDM1/PRPH2/SRF/VEGFA/PDGFRB/WNT5A/RPL24/ACVR2B/RAB3GAP1/PROX1/TGIF2/TTLL5/TBX2/PFDN5/SOX9/PLAAT1/ATF4/NES/NOTCH2/GDF11/KLF4/TMOD1/BCAR3/ABI2/BMPR1B/PRICKLE1/UNC45B/EPHA2/WNT9A/MEIS1/EGFR/NOTCH1/CACNA1C/THY1/ATP2B2/WDR19/ARHGAP35/FZD5/PITX2/HCN1/SPRED1/FBN1/FRS2/TUB/SMAD3/CLIC4/BCL2/COL8A2/LAMB2/RARG/SP3/C1QA/MAF/MAB21L1/COL4A1/HDAC2/MFAP5/DLL1/ARHGEF15/COL5A2/TENM3" 73
"GO:0001709" "GO:0001709" "cell fate determination" "12/2329" "30/14382" 0.00155580205738754 0.0222503148508791 0.0185165545047446 "IFRD1/PROX1/TBX2/NOTCH2/KLF4/LBX1/GATA6/SOX17/TNXB/GATA2/DLL1/NOTCH4" 12
"GO:0032232" "GO:0032232" "negative regulation of actin filament bundle assembly" "12/2329" "30/14382" 0.00155580205738754 0.0222503148508791 0.0185165545047446 "MYOC/ARHGAP6/CLASP1/ARHGAP28/PIK3R1/WASF2/F11R/CLASP2/DLC1/S1PR1/ARAP1/SHANK3" 12
"GO:0071402" "GO:0071402" "cellular response to lipoprotein particle stimulus" "12/2329" "30/14382" 0.00155580205738754 0.0222503148508791 0.0185165545047446 "CD9/TGFB1/CD81/LDLR/TLR4/CDH13/NPC1/AKT1/ABCG1/ABCA1/LPL/TXNIP" 12
"GO:2000765" "GO:2000765" "regulation of cytoplasmic translation" "12/2329" "30/14382" 0.00155580205738754 0.0222503148508791 0.0185165545047446 "YBX3/YBX1/PABPC1/RBM24/CPEB4/SYNCRIP/RPL13A/ZNF385A/METTL3/CNBP/PAIP1/CPEB1" 12
"GO:0001656" "GO:0001656" "metanephros development" "23/2329" "76/14382" 0.00157789392006546 0.0224063369795533 0.0186463950157173 "PDGFB/EYA1/PDGFRB/STAT1/ID3/APH1A/PKD2/EGR1/SOX9/SIX1/GDF11/SMAD4/KIF26B/SOX17/FBN1/GREM1/SIX2/BCL2/LAMB2/CD34/BASP1/IRX3/LGR4" 23
"GO:0001938" "GO:0001938" "positive regulation of endothelial cell proliferation" "25/2329" "85/14382" 0.00158245739033388 0.0224063369795533 0.0186463950157173 "FGFR1/PDGFB/PRKD2/CAV2/VEGFA/WNT5A/PROX1/NRP2/PGF/CDH13/RPTOR/AKT1/HSPG2/ARNT/JCAD/IGF2/APLN/EGFL7/VEGFB/POLD4/GATA2/EGR3/CCR3/NRARP/ITGB3" 25
"GO:0008593" "GO:0008593" "regulation of Notch signaling pathway" "25/2329" "85/14382" 0.00158245739033388 0.0224063369795533 0.0186463950157173 "TP63/MFNG/NFKBIA/LFNG/NEURL1/ZMIZ1/TSPAN14/BCL6/AAK1/NIBAN2/CCN3/ARRB1/ADAM10/AKT1/NOTCH1/GAS2/HEY1/NOS3/METTL3/EGFL7/TCIM/GATA2/WWP2/NRARP/DLL1" 25
"GO:2001237" "GO:2001237" "negative regulation of extrinsic apoptotic signaling pathway" "25/2329" "85/14382" 0.00158245739033388 0.0224063369795533 0.0186463950157173 "CX3CL1/CTTN/ICAM1/ITGA6/ZC3HC1/EYA1/SERPINE1/UNC5B/RPS6KB1/EYA4/ACVR1/PARK7/RAF1/TMBIM1/THBS1/AKT1/ITPRIP/SH3RF1/PEA15/PF4/NOS3/AR/BCL2L1/BCL2/HTT" 25
"GO:0043467" "GO:0043467" "regulation of generation of precursor metabolites and energy" "34/2329" "127/14382" 0.00160456932851514 0.0226630486796729 0.0188600286752466 "MLXIPL/OPN3/TIGAR/SLC4A4/SORBS1/NOP53/PRKAG2/PPP2CA/MACROH2A1/PARK7/TRAP1/DYRK2/SELENOS/PPP1R3D/RPTOR/IFNAR1/APP/AKT1/OGT/PPP1R3A/PFKFB1/PINK1/COX7A1/PRKAA2/AK4/IGF2/GPD1/PGAM1/CXXC5/SLC25A33/IRS2/PPARA/PHB2/ACTN3" 34
"GO:0045785" "GO:0045785" "positive regulation of cell adhesion" "93/2329" "430/14382" 0.00164795147999636 0.0232181678815329 0.0193219949452413 "CX3CL1/CYTH3/CD74/CD44/MYOC/KITLG/ARID1B/PTPRU/FSTL3/LIMS2/FERMT2/IL4R/SMARCD3/EFNB1/LAMB1/ITGA6/DHPS/LGALS1/TRIOBP/PDGFB/SIRPB1/PIEZO1/CSK/SFRP1/PRKD2/VSIR/SPOCK2/ZMIZ1/CD81/NEDD9/VEGFA/BCL6/WNT5A/IGFBP2/EPHA4/NR4A3/CD274/PTK2B/PREX1/SDC4/PODXL/PHF10/AFDN/ETS1/PPP3CA/TPM1/CDH13/AKT1/CCN1/DUSP10/ITPKB/NFKBIZ/MEGF10/RSU1/HSD17B12/RPS3/DAB2/THY1/ANGPT1/F11R/TNFRSF13C/ICOSLG/ITGA5/PDPN/KIF26B/DISC1/ARPC2/IL15/EGFLAM/STX3/SMAD3/IGF2/BMI1/LGALS9/LAMB2/RHOD/NDNF/DAG1/STAT5B/JUP/FUT1/EGR3/MYADM/CSF1/P4HB/FLNA/LDB1/TGM2/HLA-E/ADGRG1/HLA-A/HLA-DPA1/ITGB3" 93
"GO:0007163" "GO:0007163" "establishment or maintenance of cell polarity" "51/2329" "211/14382" 0.00168273574756829 0.0235914578205879 0.0196326441899334 "KRIT1/CYTH3/LRRC7/MYO9A/PALS1/RHOBTB1/NDE1/CLASP1/FAT1/RAB10/NSFL1C/SLC9A1/MYH9/PDLIM1/TCIRG1/RIPOR2/CAP2/GOLPH3/WNT5A/ACTR3/STK25/KCNJ8/GPSM2/TCF15/AMOT/PLEKHG3/FGF13/CAP1/PATJ/ROCK2/KIAA1614/CDK5RAP2/NUMA1/PRICKLE1/MSN/GSN/ARHGAP35/GPSM1/BRSK1/KIF26B/CLASP2/AMOTL1/JAM3/ARF4/CLIC4/FAM89B/CDH5/HTT/ALPK2/RACK1/SIPA1" 51
"GO:2001234" "GO:2001234" "negative regulation of apoptotic signaling pathway" "51/2329" "211/14382" 0.00168273574756829 0.0235914578205879 0.0196326441899334 "CX3CL1/CD74/CD44/YBX3/CTTN/ICAM1/ITGA6/ZC3HC1/EYA1/PIH1D1/SERPINE1/UNC5B/RPS6KB1/EYA4/GNAI2/ACVR1/PARK7/TRIM32/MAPK8IP1/TRAP1/ATF4/SELENOS/RAF1/TPT1/TMBIM1/MARCHF7/THBS1/AKT1/ACKR3/ITPRIP/SLC25A4/NR4A2/SH3RF1/PINK1/ZNF385A/PEA15/PF4/NOS3/BMI1/AR/TRIAP1/BCL2L1/BCL2/BDNF/PTTG1IP/TAF9B/FZD9/PPIA/HTT/RACK1/PCGF2" 51
"GO:0048754" "GO:0048754" "branching morphogenesis of an epithelial tube" "36/2329" "137/14382" 0.00170080879095137 0.0237862497250496 0.0197947486338579 "TNC/TIE1/NFATC4/EYA1/RASIP1/ENG/SRF/VEGFA/WNT5A/ACVR1/PKD2/TBX2/SOX9/SIX1/LAMA5/TBX3/SMAD4/EPHA2/NOTCH1/PAK1/EDNRA/DCHS1/GREM1/AR/CLIC4/SIX2/BCL2/DAG1/CAV3/CSF1/COL4A1/NRARP/NOTCH4/LGR4/PHB2/PPP3R1" 36
"GO:0051282" "GO:0051282" "regulation of sequestering of calcium ion" "32/2329" "118/14382" 0.00172818772978543 0.0241099131322027 0.0200640990300167 "CX3CL1/ATP1A2/CYBA/CACNA1S/FKBP1A/NOS1/CAPN3/ITPR3/JPH1/PDE4D/CASQ2/PKD2/PTK2B/CASQ1/ANK2/GSTO1/PLCB3/CACNA1C/THY1/SELENON/JSRP1/DDIT3/PLCB1/TRDN/RYR1/FLNA/ANXA6/HTT/RYR2/CALM1/DMD/ITGB3" 32
"GO:0006735" "GO:0006735" "NADH regeneration" "8/2329" "16/14382" 0.00176224321336369 0.0241167556615924 0.0200697933345352 "PFKP/PGK1/ENO3/ENO2/PFKL/HK2/PGAM2/PGAM1" 8
"GO:0048486" "GO:0048486" "parasympathetic nervous system development" "8/2329" "16/14382" 0.00176224321336369 0.0241167556615924 0.0200697933345352 "SEMA3F/NRP2/EGR2/SIX1/ACKR3/NAV2/HOXB2/PLXNA4" 8
"GO:0061621" "GO:0061621" "canonical glycolysis" "8/2329" "16/14382" 0.00176224321336369 0.0241167556615924 0.0200697933345352 "PFKP/PGK1/ENO3/ENO2/PFKL/HK2/PGAM2/PGAM1" 8
"GO:0061718" "GO:0061718" "glucose catabolic process to pyruvate" "8/2329" "16/14382" 0.00176224321336369 0.0241167556615924 0.0200697933345352 "PFKP/PGK1/ENO3/ENO2/PFKL/HK2/PGAM2/PGAM1" 8
"GO:1901550" "GO:1901550" "regulation of endothelial cell development" "8/2329" "16/14382" 0.00176224321336369 0.0241167556615924 0.0200697933345352 "IKBKB/VEGFA/ROCK2/F11R/CDH5/PLCB1/S1PR3/S1PR2" 8
"GO:1903140" "GO:1903140" "regulation of establishment of endothelial barrier" "8/2329" "16/14382" 0.00176224321336369 0.0241167556615924 0.0200697933345352 "IKBKB/VEGFA/ROCK2/F11R/CDH5/PLCB1/S1PR3/S1PR2" 8
"GO:0032233" "GO:0032233" "positive regulation of actin filament bundle assembly" "19/2329" "59/14382" 0.00176257385017963 0.0241167556615924 0.0200697933345352 "CX3CL1/MYOC/FERMT2/RGCC/SFRP1/ARHGEF10/CCN2/TGFB3/SDC4/SWAP70/ROCK2/FHOD1/TPM1/PAK1/RHOC/SMAD3/EVL/FLNA/ARHGEF15" 19
"GO:0048524" "GO:0048524" "positive regulation of viral process" "19/2329" "59/14382" 0.00176257385017963 0.0241167556615924 0.0200697933345352 "CD74/PABPC1/RAB7A/TOP2B/LGALS1/TRIM38/STAU1/MDFIC/STOM/NOTCH1/TRIM11/AXL/LGALS9/RAD23A/P4HB/IFIT1/PPARA/PPIA/CNOT7" 19
